experience_level,employment_type,remote_ratio,company_size,job_title_freq,employee_residence_top,company_location_top,inflation_adj_salary
Senior,Full-time,On-site,Small,Data Engineer,Other,Other,41460.83695445566
Senior,Full-time,Remote,Medium,Data Analyst,Other,Other,60691.70977
Senior,Full-time,On-site,Medium,AI/ DS Executive,United States,United States,112689.08279999999
Mid/ Intermediate level,Full-time,On-site,Medium,AI/ DS Executive,United States,United States,179317.03859999997
Mid/ Intermediate level,Full-time,Hybrid,Large,Data Scientist,United States,United States,132027.08642675998
Senior,Full-time,Remote,Medium,Data Engineer,United States,United States,192814.02
Mid/ Intermediate level,Full-time,On-site,Small,Data Analyst,Other,Other,24744.61338334019
Senior,Full-time,Remote,Medium,Data Scientist,United States,United States,254514.50639999998
Senior,Full-time,On-site,Medium,Data Scientist,Other,Other,126244.5275
Senior,Full-time,Remote,Medium,ML Engineer,Canada,Canada,197081.30299199998
Mid/ Intermediate level,Full-time,Hybrid,Large,Data Scientist,Germany,Germany,107640.28237912865
Senior,Full-time,On-site,Medium,Data Scientist,United States,United States,180936.676368
Mid/ Intermediate level,Full-time,On-site,Medium,Data Engineer,United States,United States,121472.8326
Senior,Full-time,On-site,Medium,AI/ DS Executive,United States,United States,128542.67999999998
Mid/ Intermediate level,Full-time,Remote,Medium,Data Engineer,United Kingdom,United Kingdom,94409.81957200001
Senior,Full-time,On-site,Medium,BI Analyst,United States,United States,113546.03399999997
Mid/ Intermediate level,Full-time,Remote,Large,Data Scientist,United States,United States,193801.22778239998
Senior,Full-time,On-site,Medium,Data Engineer,United States,United States,192814.02
Senior,Full-time,Remote,Medium,Data Scientist,United States,United States,280651.518
Senior,Full-time,Remote,Medium,ML Engineer,United States,United States,254514.50639999998
Senior,Full-time,Remote,Medium,Data Scientist,United States,United States,198984.06863999995
Senior,Full-time,Remote,Medium,ML Engineer,United States,United States,340959.45869999996
Mid/ Intermediate level,Full-time,On-site,Medium,Data Analyst,United States,United States,121472.8326
Senior,Full-time,Remote,Medium,Data Engineer,United States,United States,87301.90349999999
Senior,Full-time,On-site,Medium,AI/ ML Researcher,United States,United States,142468.137
Senior,Full-time,On-site,Medium,Data Analyst,United States,United States,80981.88839999998
Senior,Full-time,On-site,Medium,Data Engineer,United States,United States,173318.38019999999
Senior,Full-time,Remote,Medium,Data Scientist,United States,United States,219593.74499999997
Senior,Full-time,On-site,Medium,Data Engineer,United States,United States,112689.08279999999
Executive level,Full-time,Remote,Medium,Data Engineer,United States,United States,236732.76899999994
Senior,Full-time,On-site,Medium,Data Scientist,United States,United States,230305.63499999995
Senior,Full-time,On-site,Medium,Data Scientist,United States,United States,160735.16586455997
Mid/ Intermediate level,Full-time,Remote,Medium,AI/ DS Executive,United States,United States,278809.07292
Senior,Full-time,Remote,Medium,Data Analyst,United States,United States,182637.72449999998
Senior,Full-time,Remote,Medium,Data Scientist,United States,United States,179317.03859999997
Executive level,Full-time,On-site,Medium,AI/ DS Executive,United States,United States,149966.46
Executive level,Full-time,On-site,Medium,Data Engineer,United States,United States,179424.15749999997
Entry level,Full-time,Remote,Large,ML Engineer,United Kingdom,United Kingdom,41167.703368441995
Senior,Full-time,On-site,Medium,Data Scientist,United Kingdom,United Kingdom,115557.68352696399
Senior,Full-time,On-site,Medium,ML Engineer,United Kingdom,United Kingdom,217142.806984
Senior,Full-time,Remote,Medium,AI/ DS Executive,Other,Other,166476.30000000002
Senior,Full-time,On-site,Medium,Data Engineer,United States,United States,150394.93559999997
Senior,Full-time,On-site,Medium,Data Engineer,United States,United States,121472.8326
Senior,Full-time,On-site,Medium,Data Engineer,United States,United States,185101.45919999998
Senior,Full-time,On-site,Medium,ML Engineer,United States,United States,232533.70811999994
Senior,Full-time,On-site,Medium,Data Scientist,United States,United States,100691.76599999999
Senior,Full-time,Remote,Medium,Data Analyst,United States,United States,171390.24
Senior,Full-time,Remote,Medium,Data Engineer,United States,United States,207275.0715
Senior,Full-time,On-site,Medium,Data Scientist,United States,United States,110540.277666
Senior,Full-time,Remote,Medium,Data Engineer,United States,United States,260298.92699999997
Senior,Full-time,Remote,Medium,Data Scientist,United States,United States,43961.59656
Senior,Full-time,Remote,Medium,Data Engineer,United States,United States,160678.34999999998
Mid/ Intermediate level,Full-time,Hybrid,Medium,ML Engineer,United States,United States,177003.27036
Mid/ Intermediate level,Full-time,Remote,Medium,Data Engineer,Other,Other,73952.41274176
Senior,Full-time,Remote,Medium,Data Engineer,United States,United States,224146.29824999996
Senior,Full-time,Hybrid,Large,ML Engineer,France,France,98602.82595468199
Senior,Full-time,On-site,Large,Data Scientist,United States,United States,237508.309836
Senior,Full-time,On-site,Medium,Data Engineer,United States,United States,96407.01
Senior,Full-time,Remote,Medium,Data Scientist,United States,United States,96407.01
Senior,Full-time,On-site,Large,Data Scientist,United States,United States,229572.08477279998
Mid/ Intermediate level,Full-time,Hybrid,Large,BI Analyst,India,India,21484.208232115994
Mid/ Intermediate level,Full-time,Remote,Medium,Data Analyst,United States,United States,107118.89999999998
Mid/ Intermediate level,Full-time,Remote,Large,Data Engineer,United Kingdom,United Kingdom,100202.32842494111
Senior,Full-time,Remote,Medium,Data Engineer,United States,United States,122115.54599999997
Mid/ Intermediate level,Full-time,Remote,Medium,BI Analyst,Other,Other,62606.160583792
Senior,Full-time,On-site,Medium,AI/ ML Researcher,United States,United States,187458.07499999998
Mid/ Intermediate level,Full-time,On-site,Medium,Data Analyst,United States,United States,115688.41199999998
Mid/ Intermediate level,Full-time,On-site,Medium,Data Scientist,Other,Other,104765.13598216399
Mid/ Intermediate level,Full-time,Remote,Medium,Data Engineer,Spain,Spain,98602.82595468199
Senior,Full-time,Remote,Medium,Data Engineer,United States,United States,202454.721
Senior,Full-time,On-site,Medium,Data Analyst,United States,United States,134122.20356807997
Senior,Full-time,On-site,Medium,Data Analyst,United States,United States,148895.27099999998
Senior,Full-time,On-site,Medium,Data Scientist,United States,United States,193413.88583999997
Senior,Full-time,Remote,Medium,Data Engineer,United States,United States,114402.98519999998
Senior,Full-time,Hybrid,Large,ML Engineer,Germany,Germany,114815.97742797754
Senior,Full-time,On-site,Medium,Data Engineer,United States,United States,239142.94424999994
Senior,Full-time,On-site,Medium,ML Engineer,United States,United States,164320.3926
Mid/ Intermediate level,Full-time,Hybrid,Large,Data Analyst,Other,Other,9897.845353336075
Entry level,Full-time,Hybrid,Small,ML Engineer,Other,Other,121416.15987899998
Senior,Full-time,Remote,Medium,ML Engineer,United States,United States,284593.49351999996
Mid/ Intermediate level,Full-time,Hybrid,Large,Data Scientist,United States,United States,124943.48496
Senior,Full-time,Remote,Medium,Data Scientist,United States,United States,196670.30039999995
Senior,Full-time,On-site,Medium,Data Engineer,United States,United States,86766.309
Mid/ Intermediate level,Full-time,On-site,Medium,Data Analyst,United States,United States,92550.72959999999
Senior,Full-time,On-site,Medium,ML Engineer,United States,United States,157464.783
Senior,Full-time,On-site,Medium,Data Engineer,United States,United States,264905.03969999996
Senior,Full-time,On-site,Medium,AI/ DS Executive,United States,United States,127257.25319999999
Senior,Full-time,On-site,Medium,Data Engineer,United States,United States,198169.965
Senior,Full-time,On-site,Medium,AI/ ML Researcher,United States,United States,173359.08538199996
Entry level,Full-time,Hybrid,Medium,Data Analyst,France,France,71759.37881168656
Senior,Full-time,On-site,Medium,Data Scientist,United States,United States,199215.44546399996
Executive level,Full-time,On-site,Medium,AI/ DS Executive,United States,United States,209738.80619999996
Mid/ Intermediate level,Full-time,Hybrid,Large,Data Engineer,France,France,86778.12190470488
Mid/ Intermediate level,Full-time,Remote,Medium,ML Engineer,United Kingdom,United Kingdom,70133.135664
Senior,Full-time,On-site,Medium,AI/ DS Executive,Other,Other,53272.416000000005
Mid/ Intermediate level,Full-time,Hybrid,Large,Data Engineer,Other,Other,91715.90950535043
Mid/ Intermediate level,Full-time,On-site,Medium,Data Scientist,Spain,Spain,53593.160338
Senior,Full-time,On-site,Medium,ML Engineer,United Kingdom,United Kingdom,112347.085976
Mid/ Intermediate level,Full-time,Remote,Medium,Data Analyst,United States,United States,193199.64803999997
Mid/ Intermediate level,Full-time,On-site,Medium,Data Engineer,United States,United States,196359.65558999998
Mid/ Intermediate level,Full-time,On-site,Medium,Data Analyst,United Kingdom,United Kingdom,72223.25892860399
Mid/ Intermediate level,Full-time,Remote,Medium,AI Engineer,United States,United States,107118.89999999998
Senior,Full-time,On-site,Medium,Data Scientist,United States,United States,235425.91841999997
Mid/ Intermediate level,Full-time,Remote,Large,Data Analyst,United States,United States,130727.90555999998
Senior,Full-time,On-site,Medium,Data Analyst,United States,United States,106722.56006999998
Mid/ Intermediate level,Full-time,Hybrid,Large,Data Engineer,Other,Other,91122.8279891895
Mid/ Intermediate level,Full-time,On-site,Medium,Data Scientist,United States,United States,185101.45919999998
Senior,Full-time,Remote,Medium,ML Engineer,United States,United States,149966.46
Mid/ Intermediate level,Full-time,Remote,Small,Data Scientist,Other,Other,64091.308974196
Senior,Full-time,On-site,Medium,AI/ ML Researcher,United States,United States,288642.58793999994
Entry level,Full-time,On-site,Medium,BI Analyst,United States,United States,107118.89999999998
Mid/ Intermediate level,Full-time,On-site,Medium,Data Engineer,United States,United States,176746.185
Senior,Full-time,Remote,Medium,Data Engineer,United States,United States,115688.41199999998
Senior,Full-time,On-site,Medium,Data Scientist,United States,United States,160806.89267999996
Senior,Full-time,On-site,Medium,ML Engineer,United States,United States,216758.307717
Senior,Full-time,On-site,Medium,AI/ ML Researcher,United States,United States,160678.34999999998
Senior,Full-time,On-site,Medium,Data Scientist,United States,United States,291952.56194999994
Mid/ Intermediate level,Full-time,On-site,Medium,Data Analyst,United States,United States,164963.106
Mid/ Intermediate level,Full-time,Hybrid,Large,Data Analyst,France,France,57851.668859580204
Mid/ Intermediate level,Full-time,On-site,Medium,Data Analyst,United States,United States,60736.4163
Senior,Full-time,On-site,Medium,Data Scientist,United States,United States,157451.928732
Senior,Full-time,On-site,Medium,ML Engineer,Canada,Canada,164234.41916
Senior,Full-time,On-site,Medium,Data Scientist,United States,United States,135505.4085
Senior,Full-time,On-site,Medium,Data Engineer,United States,United States,289221.02999999997
Mid/ Intermediate level,Full-time,On-site,Large,Data Scientist,Other,Other,97568.149113974
Entry level,Full-time,On-site,Medium,Data Engineer,United States,United States,96407.01
Senior,Full-time,On-site,Medium,Data Scientist,United States,United States,215180.44631999996
Senior,Full-time,Remote,Medium,Data Analyst,Other,United Kingdom,60708.07993949999
Entry level,Contractor,Remote,Large,BI Analyst,United States,United States,122579.27657236799
Mid/ Intermediate level,Full-time,On-site,Medium,Data Analyst,United Kingdom,United Kingdom,107896.619556
Mid/ Intermediate level,Full-time,On-site,Medium,Data Engineer,Other,Other,129564.53327532399
Senior,Full-time,Remote,Medium,AI/ DS Executive,United States,United States,126424.2966336
Mid/ Intermediate level,Full-time,Hybrid,Large,AI/ ML Researcher,Canada,Canada,123452.66667658399
Mid/ Intermediate level,Full-time,On-site,Large,Data Engineer,Other,United States,31498.755803008193
Senior,Full-time,Remote,Medium,ML Engineer,United States,United States,197098.77599999998
Entry level,Full-time,On-site,Large,Data Scientist,United States,United States,219186.69317999997
Senior,Full-time,Remote,Medium,Data Engineer,United States,United States,115688.41199999998
Senior,Full-time,On-site,Medium,Data Scientist,United States,United States,163728.02508299996
Senior,Full-time,On-site,Large,Data Analyst,United States,United States,133041.6738
Senior,Full-time,On-site,Medium,Data Engineer,United States,United States,182102.12999999998
Senior,Full-time,On-site,Medium,Data Scientist,United States,United States,219593.74499999997
Mid/ Intermediate level,Full-time,On-site,Medium,ML Engineer,United Kingdom,United Kingdom,108336.0614959
Senior,Full-time,On-site,Medium,Data Scientist,United States,United States,156714.9507
Entry level,Full-time,Remote,Medium,Data Analyst,United States,United States,80339.17499999999
Senior,Full-time,Remote,Medium,Data Engineer,United States,United States,210552.90983999998
Mid/ Intermediate level,Full-time,Remote,Medium,AI Engineer,United States,United States,214237.79999999996
Entry level,Full-time,On-site,Medium,Data Scientist,Other,Other,24283.231975799998
Senior,Full-time,On-site,Large,Data Engineer,United States,United States,178790.65632539996
Senior,Full-time,Remote,Medium,Data Engineer,United States,United States,187458.07499999998
Senior,Full-time,Remote,Small,Data Scientist,Canada,Canada,106528.11035463698
Senior,Full-time,Hybrid,Large,Data Scientist,India,India,49258.53606291029
Senior,Full-time,Remote,Medium,ML Engineer,United States,United States,173532.618
Senior,Full-time,Remote,Medium,Data Analyst,United States,United States,109903.99139999998
Senior,Full-time,Hybrid,Large,Data Scientist,Canada,Canada,154466.85275966255
Executive level,Full-time,Hybrid,Large,AI/ DS Executive,Canada,Canada,147782.82277214396
Senior,Full-time,On-site,Medium,BI Analyst,United States,United States,171390.24
Senior,Full-time,On-site,Medium,Data Scientist,United States,United States,112689.08279999999
Senior,Full-time,On-site,Medium,Data Scientist,United States,United States,225538.84394999998
Senior,Full-time,On-site,Medium,Data Engineer,United States,United States,85695.12
Entry level,Full-time,Hybrid,Large,Data Engineer,United Kingdom,United Kingdom,55110.794969078095
Senior,Full-time,On-site,Medium,ML Engineer,Germany,Germany,98602.82595468199
Senior,Full-time,Remote,Medium,Data Scientist,United States,United States,214139.25061199995
Senior,Full-time,Remote,Medium,Data Engineer,United States,United States,253871.79299999995
Senior,Full-time,Remote,Medium,Data Engineer,United States,United States,254514.50639999998
Senior,Full-time,On-site,Medium,Data Analyst,United Kingdom,United Kingdom,108336.0614959
Senior,Full-time,Remote,Medium,ML Engineer,Canada,Canada,288558.92000000004
Mid/ Intermediate level,Full-time,On-site,Medium,Data Engineer,United States,United States,203525.90999999997
Senior,Full-time,Remote,Medium,Data Engineer,United States,United States,215791.02404999998
Mid/ Intermediate level,Full-time,Remote,Small,Data Scientist,Germany,Germany,88742.895290112
Mid/ Intermediate level,Full-time,Hybrid,Large,Data Scientist,United States,United States,167748.19739999998
Mid/ Intermediate level,Full-time,On-site,Medium,Data Analyst,United States,United States,113010.43949999998
Senior,Full-time,On-site,Medium,Data Scientist,United States,United States,253871.79299999995
Mid/ Intermediate level,Full-time,On-site,Medium,ML Engineer,United States,United States,246373.46999999994
Senior,Full-time,On-site,Medium,Data Engineer,United States,United States,163467.726156
Senior,Full-time,Remote,Medium,Data Engineer,United States,United States,247712.45624999996
Mid/ Intermediate level,Full-time,On-site,Medium,Data Analyst,United States,United States,96407.01
Mid/ Intermediate level,Full-time,Remote,Medium,Data Scientist,United States,United States,181688.65104599998
Senior,Full-time,On-site,Medium,Data Analyst,United States,United States,91051.06499999999
Mid/ Intermediate level,Full-time,Remote,Large,Data Scientist,Canada,Canada,227584.87840039513
Senior,Full-time,Remote,Medium,Data Engineer,United States,United States,231376.82399999996
Mid/ Intermediate level,Full-time,Remote,Medium,Data Engineer,Spain,Spain,86277.03279672399
Mid/ Intermediate level,Full-time,On-site,Large,Data Analyst,United States,United States,130727.90555999998
Senior,Full-time,On-site,Medium,ML Engineer,United States,United States,137669.21028
Senior,Full-time,Remote,Medium,Data Analyst,United States,United States,143673.4388628
Senior,Full-time,Hybrid,Medium,Data Engineer,Canada,Canada,189234.41706513398
Mid/ Intermediate level,Full-time,Remote,Medium,Data Scientist,Spain,Spain,47974.85642761997
Entry level,Full-time,Remote,Medium,Data Scientist,United States,United States,139255.641189
Mid/ Intermediate level,Freelancer,Hybrid,Medium,Other,Other,Other,55311.13163287844
Mid/ Intermediate level,Full-time,On-site,Medium,Data Analyst,United States,United States,112881.89681999998
Senior,Full-time,Remote,Medium,ML Engineer,Canada,Canada,122082.62
Mid/ Intermediate level,Full-time,On-site,Medium,Data Scientist,Germany,Germany,71486.55024837199
Senior,Full-time,Remote,Medium,Data Engineer,United States,United States,133041.6738
Senior,Full-time,Remote,Medium,Data Engineer,United States,United States,283865.08499999996
Senior,Full-time,On-site,Medium,Data Scientist,United States,United States,166034.29499999998
Senior,Full-time,On-site,Medium,ML Engineer,United States,United States,117188.07659999999
Senior,Full-time,Remote,Medium,ML Engineer,Other,Other,234620.59879999998
Mid/ Intermediate level,Full-time,Remote,Medium,Data Engineer,United States,United States,156179.35619999998
Senior,Full-time,On-site,Medium,Data Engineer,Other,Other,49300.826425843996
Executive level,Full-time,On-site,Medium,Data Engineer,United States,United States,208346.26049999997
Senior,Full-time,On-site,Medium,Data Engineer,United States,United States,221736.12299999996
Senior,Full-time,On-site,Medium,Data Scientist,United States,United States,128542.67999999998
Senior,Full-time,Remote,Medium,Data Scientist,United States,United States,190885.87979999997
Mid/ Intermediate level,Full-time,Remote,Medium,Data Analyst,Canada,Canada,110984.20000000001
Mid/ Intermediate level,Full-time,On-site,Medium,Data Analyst,United States,United States,69091.6905
Entry level,Full-time,Remote,Medium,Data Engineer,United States,United States,66199.48019999999
Senior,Full-time,On-site,Medium,ML Engineer,United States,United States,222121.75103999997
Senior,Full-time,Remote,Medium,ML Engineer,Canada,Canada,175355.03600000002
Entry level,Contractor,Remote,Medium,ML Engineer,Other,Other,35743.275124185995
Senior,Full-time,Remote,Medium,Data Scientist,United States,United States,169973.05695299996
Mid/ Intermediate level,Full-time,On-site,Medium,Data Scientist,United States,United States,155322.405
Mid/ Intermediate level,Full-time,On-site,Large,Data Scientist,United States,United States,88421.81017572
Senior,Full-time,Remote,Medium,Data Scientist,United States,United States,168980.06475
Senior,Full-time,On-site,Medium,Data Analyst,United States,United States,144610.51499999998
Mid/ Intermediate level,Full-time,On-site,Medium,Data Engineer,United States,United States,149966.46
Mid/ Intermediate level,Full-time,Remote,Medium,Data Scientist,United States,United States,162606.49019999997
Mid/ Intermediate level,Full-time,On-site,Medium,ML Engineer,United States,United States,139254.56999999998
Senior,Full-time,On-site,Medium,Data Engineer,United States,United States,139254.56999999998
Entry level,Full-time,Remote,Medium,ML Engineer,Other,Other,46924.119759999994
Mid/ Intermediate level,Full-time,On-site,Medium,Data Engineer,United States,United States,112828.65229956598
Senior,Full-time,Remote,Medium,AI/ DS Executive,Other,Other,99885.78
Senior,Full-time,On-site,Medium,ML Engineer,United States,United States,167748.19739999998
Senior,Full-time,On-site,Medium,Data Scientist,United States,United States,275295.573
Executive level,Full-time,On-site,Medium,Data Scientist,United States,United States,277170.15375
Executive level,Full-time,Remote,Medium,AI/ DS Executive,United States,United States,194211.92164499997
Senior,Full-time,Remote,Medium,Data Engineer,United States,United States,164424.46932324
Senior,Full-time,On-site,Medium,Data Engineer,United States,United States,137112.19199999998
Mid/ Intermediate level,Full-time,Hybrid,Large,Data Scientist,United States,United States,157463.4975732
Senior,Full-time,Remote,Medium,BI Analyst,United States,United States,107118.89999999998
Senior,Full-time,On-site,Medium,Data Scientist,United States,United States,231483.94289999997
Mid/ Intermediate level,Full-time,On-site,Medium,Data Scientist,Other,Other,135579.032325562
Senior,Full-time,Remote,Medium,Data Scientist,United States,United States,142296.74675999998
Mid/ Intermediate level,Full-time,Hybrid,Large,ML Engineer,Other,Other,61999.94788061255
Senior,Full-time,Hybrid,Small,Data Engineer,France,France,59547.462668
Senior,Full-time,Remote,Medium,Data Analyst,United States,United States,100604.99969099998
Senior,Full-time,Remote,Medium,AI/ DS Executive,Other,United States,231376.82399999996
Senior,Full-time,On-site,Medium,AI/ ML Researcher,United States,United States,202572.55178999997
Senior,Full-time,Remote,Medium,Data Scientist,United States,United States,242945.6652
Entry level,Full-time,On-site,Medium,Data Scientist,United States,United States,133078.094226
Entry level,Full-time,Remote,Large,Data Analyst,United States,United States,74040.58368
Senior,Full-time,On-site,Medium,Data Engineer,United States,United States,211024.23299999995
Senior,Full-time,On-site,Medium,Data Scientist,United States,United States,278509.13999999996
Entry level,Full-time,On-site,Large,ML Engineer,United States,United States,96021.38195999998
Senior,Full-time,On-site,Medium,Data Analyst,United States,United States,127257.25319999999
Senior,Full-time,Remote,Medium,Data Scientist,United States,United States,120315.94848
Mid/ Intermediate level,Full-time,Remote,Medium,ML Engineer,United States,United States,143453.63087999998
Mid/ Intermediate level,Full-time,Hybrid,Small,Data Scientist,France,Other,77606.53095416985
Mid/ Intermediate level,Full-time,On-site,Medium,Data Engineer,United States,United States,115688.41199999998
Mid/ Intermediate level,Full-time,On-site,Medium,Data Engineer,United States,United States,267797.24999999994
Mid/ Intermediate level,Full-time,On-site,Medium,Data Engineer,United States,United States,124257.92399999997
Entry level,Part-time,Hybrid,Small,Data Analyst,Other,United States,145077.89618447996
Executive level,Full-time,Remote,Medium,Data Engineer,United States,United States,304217.676
Senior,Full-time,Remote,Medium,Data Analyst,United States,United States,146924.28324
Senior,Full-time,On-site,Medium,Data Engineer,United States,United States,286328.8197
Mid/ Intermediate level,Full-time,On-site,Medium,Data Analyst,United Kingdom,United Kingdom,87666.41958
Entry level,Full-time,Remote,Small,ML Engineer,Other,Germany,38712.398801999996
Senior,Full-time,On-site,Medium,Data Analyst,United States,United States,151551.81971999997
Executive level,Full-time,Remote,Large,AI/ DS Executive,Other,Other,186576.57040126293
Senior,Full-time,Remote,Medium,Data Analyst,United States,United States,135355.44204
Senior,Full-time,On-site,Medium,Data Engineer,United States,United States,239126.79071987997
Entry level,Full-time,Hybrid,Medium,AI/ ML Researcher,France,France,24283.231975799998
Entry level,Full-time,Remote,Medium,Data Analyst,United States,United States,64271.33999999999
Senior,Full-time,Remote,Large,Data Scientist,Other,Other,202136.20379314598
Mid/ Intermediate level,Full-time,On-site,Medium,Data Scientist,United Kingdom,United Kingdom,202226.53272368398
Mid/ Intermediate level,Full-time,Remote,Medium,ML Engineer,United States,United States,115688.41199999998
Senior,Full-time,Remote,Medium,Data Engineer,United States,United States,162252.99782999998
Senior,Full-time,On-site,Medium,Data Analyst,United States,United States,151348.29380999997
Mid/ Intermediate level,Full-time,On-site,Medium,Data Scientist,United States,United States,167748.19739999998
Mid/ Intermediate level,Full-time,On-site,Small,AI Engineer,Other,Other,36424.84796369999
Entry level,Full-time,On-site,Medium,Data Analyst,United States,United States,58915.39499999999
Senior,Full-time,Remote,Large,Data Scientist,United States,United States,274065.84802800004
Senior,Full-time,On-site,Medium,Data Scientist,Canada,Canada,210869.98
Senior,Full-time,Remote,Medium,Data Analyst,United States,United States,203553.76091399998
Senior,Full-time,On-site,Medium,Data Engineer,United States,United States,100691.76599999999
Senior,Full-time,On-site,Medium,ML Engineer,United States,United States,149430.86549999999
Senior,Full-time,Remote,Medium,ML Engineer,Canada,Canada,90110.73338111599
Entry level,Full-time,Remote,Medium,Data Analyst,United States,United States,115688.41199999998
Mid/ Intermediate level,Full-time,Remote,Medium,Data Engineer,United Kingdom,United Kingdom,94409.81957200001
Senior,Full-time,On-site,Medium,AI/ DS Executive,United States,United States,241017.52499999994
Executive level,Full-time,On-site,Medium,Data Engineer,United States,United States,123722.32949999998
Mid/ Intermediate level,Full-time,Remote,Large,ML Engineer,Other,Other,98381.10948881599
Mid/ Intermediate level,Full-time,On-site,Medium,Data Engineer,Other,Other,14694.99783015537
Senior,Full-time,On-site,Medium,Data Scientist,United States,United States,142759.500408
Senior,Full-time,Remote,Medium,Data Engineer,Canada,Canada,104325.148
Senior,Full-time,Remote,Medium,Data Engineer,United States,United States,144610.51499999998
Senior,Full-time,On-site,Large,ML Engineer,United States,United States,188636.38289999997
Senior,Full-time,Remote,Medium,Data Engineer,United States,United States,132398.96039999998
Mid/ Intermediate level,Full-time,On-site,Medium,Data Analyst,United Kingdom,United Kingdom,80923.019588
Senior,Full-time,Remote,Medium,ML Engineer,United States,United States,222815.88151199996
Senior,Full-time,Remote,Medium,Data Engineer,United States,United States,156179.35619999998
Senior,Full-time,Remote,Medium,Data Engineer,United States,United States,192042.76391999997
Mid/ Intermediate level,Full-time,On-site,Medium,Data Scientist,United Kingdom,United Kingdom,101113.26636184199
Senior,Full-time,Remote,Medium,Data Engineer,United States,United States,149700.80512799998
Senior,Full-time,On-site,Medium,Data Scientist,United States,United States,109325.54933999998
Senior,Full-time,On-site,Medium,Data Scientist,United States,United States,288642.58793999994
Senior,Full-time,Remote,Medium,Data Engineer,United States,United States,300040.0388999999
Senior,Full-time,Remote,Large,ML Engineer,United States,United States,242251.534728
Senior,Full-time,Remote,Medium,AI/ DS Executive,United States,United States,171390.24
Senior,Full-time,Hybrid,Medium,Data Engineer,Canada,Canada,121055.55388415935
Mid/ Intermediate level,Full-time,Remote,Large,Data Engineer,United States,United States,133238.34410039996
Senior,Full-time,On-site,Medium,Data Engineer,United States,United States,277652.1888
Mid/ Intermediate level,Full-time,Remote,Medium,Data Engineer,United Kingdom,United Kingdom,74178.509754
Senior,Freelancer,Remote,Small,AI Engineer,Other,United States,73547.56594342078
Mid/ Intermediate level,Full-time,On-site,Medium,Data Engineer,United States,United States,173532.618
Mid/ Intermediate level,Part-time,Remote,Large,Data Engineer,Other,Other,84676.84406121339
Senior,Full-time,On-site,Medium,Data Engineer,United States,United States,241017.52499999994
Mid/ Intermediate level,Full-time,On-site,Medium,Data Analyst,United States,United States,84623.931
Mid/ Intermediate level,Full-time,Remote,Large,BI Analyst,United States,United States,173532.618
Senior,Full-time,On-site,Medium,ML Engineer,United States,United States,134969.81399999998
Mid/ Intermediate level,Full-time,On-site,Medium,Data Scientist,United States,United States,137915.58375
Entry level,Full-time,On-site,Large,Data Scientist,United States,United States,118559.19851999998
Entry level,Full-time,On-site,Large,Data Analyst,Other,Other,17596.54491
Senior,Full-time,Remote,Medium,ML Engineer,United States,United States,222121.75103999997
Mid/ Intermediate level,Full-time,On-site,Medium,Data Engineer,United States,United States,80981.88839999998
Senior,Full-time,On-site,Medium,Data Engineer,United States,United States,153078.90675839997
Senior,Full-time,Remote,Large,Data Scientist,United States,United States,106433.33903999999
Mid/ Intermediate level,Full-time,On-site,Medium,Data Scientist,United States,United States,133898.62499999997
Entry level,Full-time,Remote,Large,Data Analyst,Other,United States,107118.89999999998
Executive level,Full-time,Remote,Medium,Data Engineer,United States,United States,242945.6652
Senior,Full-time,Remote,Medium,Data Engineer,United States,United States,289221.02999999997
Senior,Full-time,Remote,Small,Data Analyst,United States,United States,117830.78999999998
Senior,Full-time,On-site,Medium,Data Analyst,United States,United States,152708.70383999997
Senior,Full-time,Remote,Medium,Data Analyst,United States,United States,176746.185
Executive level,Full-time,Remote,Large,BI Analyst,India,United States,181688.65104599998
Senior,Full-time,On-site,Medium,Data Analyst,United Kingdom,United Kingdom,72223.25892860399
Senior,Full-time,Remote,Medium,Data Analyst,United States,United States,137669.21028
Executive level,Full-time,Remote,Medium,Data Engineer,United States,United States,300789.87119999994
Senior,Full-time,On-site,Medium,Data Engineer,United States,United States,208239.14159999997
Senior,Full-time,Remote,Small,AI Engineer,United States,United States,214237.79999999996
Senior,Full-time,Remote,Medium,Data Analyst,United States,United States,196670.30039999995
Senior,Full-time,On-site,Medium,ML Engineer,United States,United States,185101.45919999998
Senior,Full-time,Remote,Medium,Data Engineer,United States,United States,76354.35191999999
Senior,Full-time,Remote,Medium,AI/ DS Executive,United States,United States,247712.45624999996
Mid/ Intermediate level,Full-time,Remote,Small,BI Analyst,Germany,Germany,59161.93019340799
Senior,Full-time,Remote,Medium,Data Analyst,United States,United States,198169.965
Senior,Full-time,Remote,Medium,Data Engineer,United States,United States,266083.3476
Senior,Full-time,On-site,Medium,Data Engineer,Spain,Spain,80114.722769242
Senior,Full-time,Remote,Medium,ML Engineer,Other,Other,158368.90419
Mid/ Intermediate level,Full-time,Remote,Small,Data Analyst,Other,Other,23462.059879999997
Entry level,Full-time,Hybrid,Large,ML Engineer,United States,United States,133041.6738
Senior,Full-time,On-site,Medium,Data Scientist,Spain,Spain,187785.2664
Entry level,Full-time,On-site,Large,Data Scientist,United States,United States,140068.67364
Mid/ Intermediate level,Full-time,Remote,Small,AI Engineer,France,France,69021.860857978
Senior,Full-time,On-site,Medium,Data Analyst,Spain,Spain,45256.027234
Senior,Full-time,On-site,Medium,AI/ DS Executive,United States,United States,166034.29499999998
